Employee ID,Age,Gender,Education Level,Marital Status,Tenure,Job Role,Department,Salary,Work Location,Performance Rating,Projects Completed,Training Hours,Promotions,Overtime Hours,Satisfaction Level,Work-Life Balance,Average Monthly Hours Worked,Absenteeism,Distance from Home,Manager Feedback Score,Churn
E00024,48,Female,Bachelor's,Married,6,Analyst,HR,140822,On-site,2,2,0,1,26,0.92,Average,269,16,19,7.2,0
E00025,49,Female,Bachelor's,Divorced,9,Developer,IT,44938,Remote,1,29,63,0,15,0.14,Poor,295,18,9,6.9,0
E00026,37,Male,High School,Married,7,Analyst,IT,109079,On-site,2,36,15,0,10,0.53,Poor,165,17,47,7.0,1
E00027,36,Female,Bachelor's,Married,7,Developer,Sales,79504,On-site,4,15,1,0,26,0.67,Excellent,244,9,35,8.4,1
E00028,24,Female,High School,Single,13,Sales,Marketing,98097,On-site,2,1,1,0,27,0.1,Average,242,19,47,7.4,0
E00029,58,Male,Bachelor's,Single,3,Developer,Marketing,79356,On-site,5,40,57,0,39,0.75,Average,164,5,21,2.7,0
E00030,28,Female,Bachelor's,Married,14,Analyst,HR,66097,On-site,1,10,16,0,5,0.61,Good,278,5,6,3.2,0
E00031,42,Male,High School,Single,14,Developer,Sales,80938,Hybrid,1,46,85,0,44,0.67,Average,237,4,36,2.5,0
E00032,30,Female,Master's,Married,9,Developer,IT,97967,On-site,1,27,79,0,42,0.15,Average,231,1,39,4.0,0
E00033,39,Male,High School,Married,1,Analyst,Sales,82580,Remote,2,28,76,0,14,0.27,Poor,202,4,5,6.5,0
E00034,25,Female,Bachelor's,Single,5,Developer,HR,114292,Remote,5,26,6,0,0,0.3,Poor,257,19,23,7.3,0
E00035,46,Male,Bachelor's,Single,14,Analyst,Sales,32117,On-site,3,44,61,0,35,0.15,Average,193,13,33,3.1,0
E00036,35,Female,Bachelor's,Married,2,Developer,IT,30561,On-site,5,5,16,0,16,0.57,Average,200,5,20,5.0,0
E00037,30,Male,Bachelor's,Single,7,Analyst,Sales,130191,Remote,5,37,20,0,7,0.08,Poor,246,7,36,3.7,1
E00038,47,Female,High School,Married,2,Sales,HR,34271,On-site,4,17,94,0,23,0.26,Average,282,0,33,4.1,0
E00039,23,Female,Master's,Married,1,Developer,IT,36654,On-site,5,39,78,0,38,0.76,Average,232,19,41,5.0,1
E00040,41,Male,Bachelor's,Single,12,Analyst,IT,45511,On-site,2,4,63,0,49,0.24,Good,171,10,1,9.1,0
E00041,49,Female,High School,Single,12,Analyst,IT,88064,On-site,1,9,42,0,22,0.19,Good,239,13,12,3.4,0
E00042,28,Other,Bachelor's,Married,8,Analyst,HR,128696,Remote,5,21,86,0,34,0.14,Average,284,6,21,9.8,0
E00043,29,Male,Master's,Single,8,Manager,IT,63012,On-site,5,40,52,0,47,0.62,Average,179,11,46,4.2,0
E00044,56,Male,Bachelor's,Married,8,Manager,HR,57769,On-site,3,23,40,0,43,0.45,Average,267,7,43,2.0,0
E00045,35,Female,High School,Divorced,2,Analyst,Sales,74199,On-site,3,6,25,0,25,0.22,Average,295,17,45,5.2,0
E00046,38,Male,Bachelor's,Married,1,Analyst,Marketing,51415,Remote,4,32,93,0,10,0.2,Good,211,2,44,6.6,0
E00047,57,Male,Bachelor's,Single,13,Analyst,IT,38321,On-site,3,11,74,0,27,0.99,Average,279,0,31,1.9,0
E00048,25,Male,Bachelor's,Married,13,Manager,IT,53112,Hybrid,4,16,25,0,5,0.07,Average,183,8,39,3.2,0
E00049,23,Male,Master's,Married,3,Developer,IT,42165,On-site,2,35,69,0,36,0.74,Average,173,3,34,3.2,0
E00050,27,Male,Bachelor's,Married,1,Manager,IT,56258,Remote,1,33,66,1,24,0.92,Good,260,10,9,3.5,0
E00051,25,Male,Bachelor's,Married,7,Analyst,Sales,83856,On-site,3,19,88,0,9,0.45,Poor,287,8,17,1.6,0
E00052,50,Female,Master's,Married,9,Manager,HR,70824,On-site,2,49,78,1,32,0.48,Poor,259,1,21,3.6,0
E00053,39,Female,Bachelor's,Single,0,Developer,Sales,147778,Remote,1,14,58,0,46,0.85,Poor,284,10,36,3.4,1
E00054,47,Male,Bachelor's,Married,1,Manager,IT,92112,On-site,2,8,20,0,42,0.01,Excellent,242,14,27,4.5,1
E00055,55,Female,Bachelor's,Married,5,Analyst,Sales,126116,Hybrid,2,15,41,0,24,0.19,Average,251,13,11,9.9,0
E00056,31,Female,Bachelor's,Married,8,Analyst,Marketing,108327,Remote,2,7,69,0,0,0.71,Good,269,7,15,3.2,0
E00057,57,Female,Bachelor's,Single,9,Manager,HR,116764,On-site,2,22,22,1,13,0.51,Poor,191,18,37,6.2,0
E00058,35,Male,Bachelor's,Single,11,Analyst,Marketing,48236,Remote,3,43,56,0,10,0.97,Good,160,4,30,4.5,0
E00059,52,Male,PhD,Divorced,4,Analyst,IT,40781,On-site,5,6,52,0,25,0.21,Poor,205,9,39,6.4,1
E00060,36,Female,Master's,Single,4,Developer,IT,37142,On-site,2,27,75,0,38,0.89,Average,207,9,37,7.3,0
E00061,29,Female,Master's,Single,2,Developer,Marketing,125348,On-site,1,30,26,0,3,1.0,Average,265,8,10,8.0,0
E00062,35,Female,Bachelor's,Married,7,Sales,Sales,53741,Remote,3,39,61,1,13,0.0,Poor,299,5,3,9.7,0
E00063,44,Female,Bachelor's,Married,11,Developer,IT,136124,On-site,3,9,78,0,27,0.29,Average,279,6,6,4.4,0
E00064,42,Male,High School,Single,5,Developer,IT,146625,Remote,2,14,71,0,7,0.98,Poor,281,7,40,1.1,0
E00065,37,Female,Bachelor's,Married,9,Sales,HR,116913,On-site,2,6,24,1,22,0.9,Average,227,13,6,6.3,0
E00066,39,Male,Master's,Married,11,Analyst,Sales,36146,Remote,1,41,42,0,27,0.1,Average,260,13,23,1.5,0
E00067,45,Male,Bachelor's,Married,1,Developer,Sales,112821,Remote,5,21,47,0,39,0.26,Good,226,18,12,2.7,1
E00068,47,Female,Master's,Divorced,11,Analyst,IT,70859,On-site,3,21,60,0,21,0.63,Average,224,4,16,7.9,0
E00069,46,Male,High School,Single,11,Developer,Sales,96892,Remote,2,38,18,0,17,0.25,Average,150,18,33,3.5,0
E00070,50,Male,Bachelor's,Married,4,Manager,HR,64131,On-site,4,20,34,0,9,0.39,Average,234,2,20,4.9,0
E00071,36,Female,Bachelor's,Single,3,Developer,HR,121006,On-site,4,20,20,0,35,0.25,Average,246,5,40,2.0,0
E00072,22,Male,Bachelor's,Single,10,Sales,HR,125035,Remote,2,25,17,0,6,0.3,Average,232,17,33,3.2,0
E00073,46,Female,Master's,Married,9,Manager,HR,82638,Hybrid,4,41,92,0,15,0.34,Excellent,195,3,8,8.5,1
E00074,28,Other,PhD,Single,8,Developer,IT,123756,On-site,1,9,90,0,38,0.53,Average,192,1,19,2.2,0
E00075,30,Female,High School,Married,3,Analyst,HR,102968,On-site,5,24,39,0,44,0.78,Good,151,0,17,6.7,1
E00076,45,Male,High School,Single,7,Manager,IT,113893,On-site,4,5,73,0,2,0.55,Average,196,5,9,7.1,0
E00077,22,Male,High School,Single,0,Developer,IT,55694,Remote,1,14,52,0,49,0.25,Good,203,4,22,1.5,0
E00078,29,Male,Bachelor's,Married,4,Manager,IT,138238,Remote,4,23,4,0,40,0.66,Average,298,3,29,4.3,0
E00079,45,Male,Bachelor's,Married,8,Analyst,IT,94067,On-site,1,15,21,0,3,0.83,Good,293,19,2,4.7,0
E00080,32,Male,Master's,Single,2,Manager,HR,34336,On-site,1,36,55,0,39,0.65,Poor,184,11,45,2.2,0
E00081,38,Female,Bachelor's,Divorced,10,Developer,IT,81948,Remote,2,3,13,1,48,0.8,Poor,189,13,37,2.9,0
E00082,29,Male,Bachelor's,Single,12,Analyst,HR,57038,On-site,3,17,39,0,14,0.45,Average,281,12,16,2.6,0
E00083,56,Female,Master's,Single,5,Sales,Marketing,122380,On-site,1,40,0,1,34,0.92,Average,185,5,18,8.9,0
E00084,56,Male,Bachelor's,Single,10,Developer,IT,141306,On-site,4,36,76,0,5,0.61,Good,164,9,43,9.7,0
E00085,54,Female,Bachelor's,Single,9,Manager,IT,45036,Remote,2,10,26,0,1,0.71,Poor,263,16,20,4.5,0
E00086,26,Female,High School,Single,5,Analyst,Sales,108887,On-site,3,12,48,0,16,0.11,Average,241,15,21,4.7,0
E00087,49,Male,Bachelor's,Married,10,Sales,IT,127410,Remote,5,5,57,0,45,0.63,Average,224,11,17,2.1,0
E00088,28,Male,Bachelor's,Married,5,Developer,HR,110561,Hybrid,1,32,80,0,12,0.03,Good,214,12,14,9.8,1
E00089,30,Female,Bachelor's,Single,3,Developer,IT,53680,On-site,1,35,71,0,23,0.16,Poor,169,6,3,1.9,0
E00090,29,Female,Master's,Divorced,6,Developer,IT,39735,Remote,3,20,91,0,13,0.7,Good,249,19,30,2.3,0
E00091,33,Female,Master's,Single,2,Analyst,Sales,111725,Hybrid,2,46,25,0,7,0.68,Excellent,205,19,4,6.7,0
E00092,55,Male,Master's,Single,5,Developer,IT,56815,On-site,5,30,19,0,9,0.5,Good,214,8,44,2.3,0
E00093,54,Male,Bachelor's,Single,9,Developer,IT,112344,Hybrid,3,17,82,0,27,0.66,Average,152,9,25,6.7,0
E00094,44,Female,Master's,Single,4,Manager,IT,138999,On-site,5,16,13,1,32,0.82,Average,294,16,40,3.2,1
E00095,45,Female,Bachelor's,Married,2,Sales,IT,41050,On-site,3,8,24,0,26,0.83,Poor,205,17,23,7.1,0
E00096,58,Male,Bachelor's,Single,1,Analyst,IT,115216,Remote,2,14,35,1,1,0.89,Average,186,5,9,3.2,0
E00097,56,Female,Bachelor's,Married,11,Analyst,IT,41993,On-site,4,28,27,0,35,0.89,Average,224,16,32,8.1,0
E00098,43,Male,High School,Married,14,Manager,Sales,105265,Remote,3,3,7,0,47,0.57,Average,226,1,6,4.3,0
E00099,48,Male,Bachelor's,Married,0,Developer,Sales,107115,On-site,4,23,48,0,22,0.35,Poor,218,12,43,6.1,0
E00100,56,Male,Bachelor's,Married,7,Analyst,HR,113120,Remote,3,10,96,0,31,0.0,Poor,167,1,29,9.6,1
E00101,22,Male,PhD,Single,0,Analyst,Sales,70028,On-site,1,23,5,0,10,0.93,Average,200,10,1,9.0,0
E00102,56,Female,Bachelor's,Single,4,Sales,Sales,85292,On-site,2,43,88,0,23,0.2,Average,289,10,46,8.2,0
E00103,58,Male,Master's,Married,4,Analyst,Marketing,61325,Remote,1,11,0,1,14,0.83,Poor,260,15,27,4.6,1
E00104,35,Male,Bachelor's,Single,0,Analyst,HR,104161,On-site,5,30,93,0,24,0.25,Average,242,0,23,2.7,0
E00105,24,Female,High School,Single,8,Analyst,Marketing,131099,Remote,4,3,4,0,21,0.32,Average,207,5,46,8.9,1
E00106,22,Female,Bachelor's,Married,4,Manager,HR,130269,Hybrid,5,39,72,0,22,0.21,Average,268,5,27,7.8,0
E00107,26,Female,Bachelor's,Single,8,Analyst,Sales,68401,On-site,4,43,7,0,0,0.78,Average,180,5,26,6.3,0
E00108,47,Female,High School,Married,10,Analyst,HR,143787,Remote,4,19,87,0,21,0.44,Average,183,4,30,5.4,1
E00109,35,Male,Bachelor's,Single,5,Analyst,Sales,63436,On-site,2,5,88,0,25,0.96,Poor,255,9,13,5.7,1
E00110,48,Female,Bachelor's,Divorced,6,Developer,HR,122025,Hybrid,5,44,40,0,19,0.81,Average,217,7,29,6.3,0
E00111,30,Female,Bachelor's,Married,6,Manager,Sales,37068,Hybrid,1,4,71,1,9,0.57,Average,219,10,31,7.2,0
E00112,36,Female,Master's,Single,1,Developer,HR,93567,On-site,1,13,84,0,12,0.78,Average,241,9,48,6.7,1
E00113,36,Male,Bachelor's,Married,13,Manager,Sales,100002,On-site,4,14,18,0,20,0.84,Poor,198,0,33,9.5,1
E00114,47,Male,High School,Married,4,Analyst,Marketing,72078,Remote,4,16,2,0,24,0.92,Excellent,203,16,9,5.6,1
E00115,34,Female,Master's,Married,1,Analyst,IT,84460,Hybrid,4,14,38,0,15,0.08,Average,230,14,46,7.3,0
E00116,53,Male,Bachelor's,Married,3,Manager,HR,34960,On-site,5,24,15,1,14,0.8,Poor,257,4,45,1.9,1
E00117,53,Female,Master's,Married,11,Developer,IT,75177,On-site,5,42,64,0,4,0.18,Poor,244,18,34,7.4,0
E00118,25,Female,Master's,Single,2,Analyst,IT,92273,On-site,3,13,73,1,23,0.92,Average,189,3,38,2.2,1
E00119,51,Female,PhD,Single,11,Sales,Marketing,139611,Remote,1,27,69,0,26,0.19,Average,246,13,36,1.3,0
E00120,58,Female,Bachelor's,Divorced,12,Developer,HR,65075,On-site,4,30,68,0,48,0.17,Average,203,2,28,7.3,1
E00121,44,Female,Bachelor's,Single,10,Analyst,IT,57430,Remote,5,44,16,0,44,0.49,Good,243,4,9,7.1,0
E00122,36,Male,Bachelor's,Single,5,Manager,Sales,61536,On-site,3,26,20,0,33,0.86,Poor,267,8,15,5.0,0
E00123,50,Female,Bachelor's,Single,10,Manager,HR,134708,Remote,4,40,92,0,39,0.09,Average,268,19,10,7.9,0
E00124,57,Female,Bachelor's,Married,14,Manager,IT,58609,On-site,1,35,61,0,0,0.06,Average,257,3,31,3.8,0
E00125,34,Male,Bachelor's,Married,4,Developer,IT,67420,Hybrid,5,15,30,0,33,0.76,Average,297,0,48,4.5,0
E00126,53,Male,Master's,Married,0,Developer,HR,45419,On-site,4,49,2,0,40,0.84,Average,255,12,41,3.6,0
E00127,28,Male,High School,Married,14,Manager,IT,80439,On-site,2,34,37,1,25,0.46,Poor,186,4,32,1.3,1
E00128,43,Female,Master's,Married,1,Analyst,IT,40033,On-site,2,12,59,0,11,0.65,Excellent,243,17,41,4.1,1
E00129,49,Male,Master's,Married,12,Analyst,IT,75603,On-site,1,20,91,0,8,0.13,Poor,240,17,48,9.7,0
E00130,23,Female,Bachelor's,Single,6,Developer,Sales,130165,Remote,3,46,91,0,32,0.6,Good,219,12,46,2.8,0
E00131,27,Male,Bachelor's,Single,8,Manager,IT,82136,Remote,3,19,64,0,39,0.01,Average,228,18,49,5.5,0
E00132,49,Male,Bachelor's,Married,0,Sales,Sales,100665,Remote,2,48,75,0,26,0.3,Average,290,3,41,7.2,0
E00133,49,Female,PhD,Single,3,Developer,Sales,63571,Hybrid,1,7,15,0,6,0.02,Average,195,10,10,1.1,0
E00134,41,Male,High School,Married,13,Sales,IT,89203,On-site,2,19,88,0,22,0.27,Good,195,2,35,2.7,0
E00135,51,Female,Bachelor's,Married,14,Analyst,Sales,50582,Hybrid,4,31,81,0,27,0.02,Average,247,10,49,4.9,0
E00136,32,Female,Bachelor's,Married,14,Developer,HR,82109,On-site,5,5,7,0,41,0.94,Good,267,13,0,3.8,0
E00137,49,Female,Master's,Single,10,Developer,Sales,69755,Remote,3,13,69,0,32,0.88,Good,207,14,8,4.2,0
E00138,46,Male,Master's,Single,2,Developer,Marketing,59806,On-site,5,33,50,0,14,0.21,Average,264,19,0,2.7,1
E00139,54,Female,Bachelor's,Married,11,Manager,IT,53312,On-site,1,35,49,0,34,0.92,Average,273,10,35,8.7,1
E00140,22,Female,High School,Single,11,Sales,Sales,128804,On-site,1,11,72,0,49,0.9,Good,170,8,26,4.8,0
E00141,48,Female,Bachelor's,Married,10,Sales,IT,129532,Remote,2,33,17,0,24,0.22,Poor,278,18,8,5.7,0
E00142,34,Male,High School,Married,12,Manager,IT,144784,Remote,1,15,93,0,20,0.67,Average,229,4,25,7.1,1
E00143,24,Female,Master's,Divorced,4,Developer,IT,75877,On-site,5,43,83,0,4,0.19,Average,172,8,27,9.5,0
E00144,27,Female,Master's,Married,4,Analyst,Sales,52924,Remote,3,34,81,0,48,0.68,Average,188,1,37,7.3,1
E00145,29,Female,Master's,Married,12,Developer,IT,111791,Remote,2,42,28,0,32,0.06,Good,198,2,8,9.2,1
E00146,48,Male,Bachelor's,Married,11,Developer,HR,38111,On-site,1,12,74,0,23,0.86,Average,280,7,13,8.2,0
E00147,30,Male,Bachelor's,Single,9,Analyst,Sales,99420,Remote,4,26,81,0,30,0.83,Good,289,12,44,7.3,1
E00148,58,Male,High School,Single,9,Manager,Sales,144312,On-site,1,40,32,0,17,0.17,Good,222,5,28,6.7,0
E00149,54,Male,Bachelor's,Married,10,Analyst,Sales,50022,Remote,3,29,2,0,30,0.44,Average,169,16,4,6.9,0
E00150,45,Male,High School,Married,1,Manager,IT,149345,On-site,2,32,91,0,2,0.25,Good,245,13,4,8.9,0
E00151,36,Male,Master's,Married,4,Manager,HR,48927,On-site,3,35,4,0,33,0.12,Average,191,3,25,6.5,0
E00152,53,Female,High School,Single,3,Developer,Marketing,70467,Remote,5,31,79,0,23,0.01,Poor,181,2,12,8.7,1
E00153,53,Male,Master's,Married,12,Developer,IT,121499,On-site,5,13,58,0,43,0.3,Average,267,1,47,9.4,0
E00154,45,Female,Bachelor's,Single,0,Analyst,Sales,58583,On-site,1,47,3,0,40,0.94,Average,200,4,30,6.1,0
E00155,33,Male,Bachelor's,Married,11,Developer,IT,138800,Remote,4,39,17,0,40,0.89,Average,182,13,33,3.0,0
E00156,23,Male,High School,Married,0,Manager,Sales,58876,Remote,4,44,26,0,29,0.43,Poor,157,8,33,6.6,0
E00157,24,Male,Bachelor's,Single,0,Analyst,Sales,106274,Remote,2,19,17,1,10,0.29,Good,267,19,18,9.7,1
E00158,58,Male,Bachelor's,Single,7,Developer,Marketing,103919,Remote,1,26,65,0,30,0.31,Poor,217,0,22,2.0,1
E00159,38,Female,Master's,Single,14,Analyst,HR,72786,On-site,3,32,5,1,25,0.71,Average,195,19,39,8.9,0
E00160,23,Female,High School,Married,2,Analyst,Sales,43435,On-site,1,31,98,0,25,0.27,Average,204,16,22,8.8,1
E00161,23,Male,Master's,Married,8,Manager,IT,45485,Remote,4,41,82,1,37,0.83,Good,168,13,1,1.8,0
E00162,49,Male,Master's,Married,14,Developer,HR,77296,Remote,3,28,92,0,40,0.36,Average,239,0,35,3.7,0
E00163,44,Male,High School,Married,9,Developer,HR,85533,On-site,3,35,10,0,36,0.07,Poor,285,12,43,8.7,0
E00164,58,Female,Master's,Married,1,Analyst,HR,43559,Remote,4,6,37,0,25,0.12,Poor,271,14,2,6.5,0
E00165,53,Female,Bachelor's,Married,8,Manager,HR,109668,On-site,2,21,64,0,19,0.77,Average,274,16,40,4.1,0
E00166,54,Female,Master's,Married,10,Developer,Marketing,79376,On-site,1,24,58,0,20,0.77,Poor,207,13,18,8.2,0
E00167,22,Female,High School,Single,8,Manager,IT,37356,On-site,4,10,53,1,12,0.4,Average,186,14,29,1.0,1
E00168,40,Female,High School,Married,14,Analyst,IT,63540,Remote,1,2,20,0,45,1.0,Poor,233,7,40,2.7,1
E00169,23,Male,Bachelor's,Married,3,Analyst,Marketing,104973,On-site,1,4,98,1,47,0.22,Poor,289,7,39,5.6,0
E00170,47,Male,Bachelor's,Single,3,Sales,HR,131316,Remote,2,43,7,0,17,0.2,Poor,247,14,38,5.5,0
E00171,53,Female,Master's,Married,3,Developer,HR,81818,Hybrid,3,42,66,0,39,0.53,Good,243,15,8,9.8,1
E00172,27,Female,Master's,Married,11,Developer,IT,64392,Hybrid,4,32,14,0,25,0.56,Average,207,8,39,3.6,0
E00173,53,Female,Master's,Single,0,Developer,IT,103659,On-site,3,43,80,0,1,0.42,Average,237,2,31,1.6,0
E00174,25,Female,High School,Single,4,Developer,IT,78217,Hybrid,5,8,91,0,16,0.58,Poor,171,0,42,4.0,0
E00175,32,Male,High School,Married,12,Manager,IT,131778,On-site,4,47,60,0,42,0.89,Average,215,4,39,2.4,0
E00176,38,Female,Bachelor's,Married,5,Developer,Sales,99688,Remote,1,10,99,0,25,0.47,Average,262,4,17,7.7,0
E00177,59,Female,Bachelor's,Married,3,Analyst,Sales,128823,Hybrid,4,2,50,1,37,1.0,Average,201,16,37,4.2,1
E00178,45,Male,Bachelor's,Married,7,Developer,Sales,82681,Remote,3,7,40,0,30,0.95,Poor,208,19,23,7.9,0
E00179,26,Female,Bachelor's,Single,14,Manager,IT,30872,On-site,5,49,77,0,20,0.71,Average,227,2,17,4.3,0
E00180,55,Female,High School,Single,14,Manager,IT,44730,On-site,2,35,16,0,40,0.7,Average,257,1,42,4.2,0
E00181,27,Male,Bachelor's,Single,13,Developer,HR,96493,Remote,4,8,38,0,32,0.73,Average,256,6,3,1.4,0
E00182,43,Male,Bachelor's,Married,13,Analyst,IT,140749,Hybrid,2,35,19,0,42,0.86,Good,262,2,46,3.6,0
E00183,32,Male,Bachelor's,Divorced,2,Analyst,Sales,93614,Remote,5,32,38,0,11,0.83,Average,198,19,5,1.2,0
E00184,37,Female,Master's,Single,10,Analyst,HR,123700,On-site,3,22,69,0,5,0.72,Average,215,15,35,3.2,0
E00185,54,Male,High School,Married,8,Developer,Marketing,114951,On-site,5,2,69,0,22,0.82,Good,153,8,49,2.8,1
E00186,30,Female,Master's,Married,12,Manager,IT,136732,On-site,4,42,76,0,14,0.43,Poor,157,8,25,2.8,0
E00187,27,Female,Bachelor's,Single,6,Analyst,IT,50812,On-site,1,41,34,0,24,0.5,Good,214,6,8,9.5,1
E00188,37,Male,Master's,Married,7,Developer,IT,70759,On-site,3,49,98,0,37,0.89,Average,286,4,37,1.1,0
E00189,50,Female,Bachelor's,Married,6,Analyst,IT,45395,Remote,4,15,26,0,30,0.09,Good,258,13,0,2.1,0
E00190,24,Other,Bachelor's,Single,8,Developer,Sales,133024,Remote,3,45,31,0,49,0.78,Average,176,16,22,9.6,1
E00191,41,Male,Bachelor's,Married,1,Manager,Marketing,49610,On-site,3,7,97,0,6,0.67,Excellent,177,2,8,1.7,0
E00192,57,Male,Master's,Single,14,Developer,IT,129871,Remote,4,42,2,0,28,0.15,Average,150,4,27,3.5,0
E00193,40,Female,Bachelor's,Single,14,Developer,IT,30909,Remote,1,0,31,0,31,0.42,Poor,155,2,13,9.0,0
E00194,47,Female,Bachelor's,Single,3,Analyst,IT,113880,On-site,1,42,70,0,26,0.73,Good,164,17,21,6.8,0
E00195,24,Male,Master's,Married,1,Sales,HR,118181,Remote,4,23,33,0,7,0.72,Poor,159,16,4,7.9,0
E00196,40,Male,Bachelor's,Married,7,Developer,HR,92785,Remote,3,28,20,0,4,0.69,Excellent,195,11,14,4.7,0
E00197,41,Male,Bachelor's,Married,1,Sales,Sales,57914,On-site,3,12,28,0,7,0.16,Poor,270,9,14,6.4,0
E00198,53,Other,Bachelor's,Married,7,Analyst,Sales,47769,On-site,4,44,3,0,31,0.78,Good,214,2,34,6.3,0
E00199,28,Male,Bachelor's,Married,5,Analyst,HR,110356,On-site,4,1,67,0,5,0.13,Poor,269,2,30,5.9,0
E00200,54,Female,Bachelor's,Married,6,Developer,HR,47199,On-site,5,32,0,0,27,0.98,Average,297,3,24,4.2,0
E00201,39,Female,Bachelor's,Married,10,Manager,Sales,84501,Hybrid,1,13,30,1,18,0.16,Poor,252,10,9,2.2,1
E00202,22,Male,PhD,Married,14,Sales,IT,76476,On-site,3,9,44,0,31,0.59,Average,191,18,37,7.7,0
E00203,32,Female,Master's,Single,12,Developer,IT,33784,Remote,3,3,80,0,42,0.78,Average,159,2,34,3.3,0
E00204,49,Male,High School,Married,5,Developer,IT,110282,Hybrid,3,46,70,0,43,0.01,Poor,172,18,34,8.5,0
E00205,46,Female,Bachelor's,Married,13,Sales,IT,46705,Remote,3,15,51,0,16,0.72,Poor,237,2,5,3.5,0
E00206,44,Male,PhD,Married,11,Sales,IT,67166,On-site,4,32,43,0,23,0.22,Good,169,4,45,1.7,0
E00207,52,Female,Master's,Single,8,Manager,IT,54026,Remote,1,46,49,0,10,0.18,Average,187,7,46,4.0,0
E00208,51,Female,Master's,Married,3,Developer,IT,129147,Remote,5,12,35,0,11,0.07,Average,278,1,16,6.3,0
E00209,56,Male,Bachelor's,Married,0,Developer,Sales,48955,On-site,4,4,20,0,24,0.19,Poor,296,8,7,8.6,0
E00210,28,Male,Master's,Single,8,Analyst,HR,102130,Remote,3,7,22,0,38,0.61,Average,273,7,36,4.5,0
E00211,37,Male,Master's,Single,12,Sales,IT,77641,Remote,1,42,76,0,7,1.0,Average,250,7,30,2.0,1
E00212,47,Male,Bachelor's,Single,9,Developer,Sales,95230,On-site,1,46,33,0,26,0.57,Average,191,10,6,1.6,0
E00213,23,Female,Bachelor's,Married,7,Developer,Sales,38602,Remote,2,7,99,0,7,0.6,Excellent,194,5,33,5.2,0
E00214,22,Female,Bachelor's,Married,0,Analyst,IT,74530,On-site,4,30,68,0,25,0.39,Average,194,11,16,7.5,1
